"stnm","stlon","stlat","Rhyp","Rrup","Repi","siteClass","AVS30","AVS20","Ts","PGA1","PGA2","PGA3","PGA4","PGA5","PGA1.1","PGA2.1","PGA3.1","PGA4.1","PGA5.1","sigma","valid","event.num","mag","eq.type","depth","resids","model"
"MYGH09",140.6027,38.0091,405.154158,400.005,404.360287,"medium-soil",358,315,0.400272,0.710857,0.635198,0.770409,0.518187,0.387793,-1,0.641948,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.00459072815315448,"1990FT"
"MYGH10",140.8924,37.9411,411.495965,407.309,410.71052,"soft-soil",347,329,0.928685,1.050904,0.938752,1.090713,0.764174,0.570296,-1,0.951732,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.00596379652905876,"1990FT"
"TKSH02",134.0918,34.0112,414.74987,401.186,414.222204,"hard-soil",349,266,0.273763,0.482981,0.473882,0.497554,0.314631,0.158001,-1,0.780016,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.216433298493366,"1990FT"
"YMTH14",139.9916,38.386,421.974112,414.454,421.212994,"medium-soil",310,261,0.514,0.764684,0.748214,0.802944,0.555401,0.385972,-1,0.553826,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.130652489776446,"1990FT"
"YMTH13",139.7606,38.4704,424.886549,416.639,424.132666,"rock",576,490,0.091429,0.186095,0.173221,0.188517,0.10789,0.179724,-1,0.373553,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.333751687131805,"1990FT"
"OKYH03",133.789,34.7783,431.589229,416.662,431.06505,"hard-soil",307,219,0.364731,0.276818,0.240406,0.277166,0.18281,0.223274,-1,0.666014,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.44253805589579,"1990FT"
"TKSH06",133.8933,33.9997,432.874334,419.345,432.372795,"rock",469,423,0.095544,0.23258,0.225398,0.263864,0.180795,0.139624,-1,0.363424,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.207463545955748,"1990FT"
"YMTH01",140.3805,38.3841,434.05073,427.581,433.303547,"soft-soil",327,300,0.729697,0.352013,0.344592,0.402688,0.273465,0.233751,-1,0.774541,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.351739221189599,"1990FT"
"OKYH04",133.6861,34.6429,441.631568,426.949,441.125087,"hard-soil",360,263,0.265364,0.196874,0.184251,0.235113,0.166197,0.169064,-1,0.600051,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.512778310227588,"1990FT"
"OKYH09",133.6765,35.1809,442.975557,427.638,442.455233,"rock",511,386,0.175,0.375135,0.326028,0.378653,0.267422,0.280022,-1,0.334142,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,-0.0106761679091069,"1990FT"
"YMTH12",140.0055,38.6357,448.615459,440.813,447.892588,"medium-soil",366,338,0.454315,0.511349,0.472788,0.519168,0.287756,0.259191,-1,0.424283,-1,-1,-1,0.21,0,20091105075.74,6.2,"intra-plate",23.3,0.047010814051527,"1990FT"
